location,cases,density_per_km
Colombia-Cesar-La_Paz,490,18.44276047
Colombia-Cesar-Manaure,1008,151.8955078
Colombia-Cesar-Pailitas,737,36.18375778
Colombia-Cesar-Pelaya,627,50.53198242
Colombia-Cesar-Pueblo_Bello,379,38.47894287
Colombia-Cesar-Rio_De_Oro,843,34.58071899
Colombia-Cesar-San_Alberto,2517,52.7531929
Colombia-Cesar-San_Diego,339,22.47832489
Colombia-Cesar-San_Martin,685,4.86405468
Colombia-Cesar-Tamalameque,217,35.25251007
Colombia-Cesar-Unknown,536,70.99121857
Colombia-Cesar-Valledupar,27841,138.6951904
Colombia-Choco,421,17.70765686
Colombia-Choco-Acandi,204,14.11434555
Colombia-Choco-Alto_Baudo,0,23.73191833
Colombia-Choco-Atrato,212,16.77385712
Colombia-Choco-Bagado,0,16.72143555
Colombia-Choco-Bahia_Solano,153,12.64424706
Colombia-Choco-Bajo_Baudo,36,6.994709969
Colombia-Choco-Belen_De_Bajira,0,15.98078442
Colombia-Choco-Bojaya,5,3.063319921
Colombia-Choco-Carmen_Del_Darien,0,51.28196716
Colombia-Choco-Certegui,38,31.06635284
Colombia-Choco-Condoto,54,39.06016541
Colombia-Choco-El_Canton_Del_San_Pablo,0,26.06412506
Colombia-Choco-El_Carmen_De_Atrato,0,29.54229355
Colombia-Choco-El_Litoral_Del_San_Juan,1,5.384489059
Colombia-Choco-Istmina,72,17.61253738
Colombia-Choco-Jurado,0,2.252673149
Colombia-Choco-Lloro,44,17.10917282
Colombia-Choco-Medio_Atrato,0,18.85997009
Colombia-Choco-Medio_Baudo,32,12.18470192
Colombia-Choco-Medio_San_Juan,0,2924.948242
Colombia-Choco-Novita,0,7.930196762
Colombia-Choco-Nuqui,0,17.05451202
Colombia-Choco-Quibdo,337,51.92168427
Colombia-Choco-Rio_Iro,0,38.68492126
